Codigo articulo,Descripcion articulo,Stock principal,Stock colon,Stock sur,Stock gye norte,Stock gye sur,Precio,Promociones
PROAMDYD1700BBA,Proc. Amd Ryzen 7 1700 8 Cores 3.7ghz 16mb Cache Socket Am4,> 5,No,> 5,No,No,"$268,00","Por la compra de 3 artículos, tienes el 5% de descuento"
PROINTG3900,Proc. Intel Celeron G3900 2.8ghz 2mb Cache,> 5,< 5,> 5,< 5,< 5,"$39,00","Por la compra de 3 artículos, tienes el 5% de descuento"
PROINTCORI37100,Proc. Intel Core I3-7100 - 3.9ghz - 3mb - 2nucleos - Ddr4 1866/2133 - Ddr3l 1333/1600 - Sk 1151,No,No,< 5,No,No,"$141,00","Por la compra de 3 artículos, tienes el 5% de descuento"
PROINTCORI38100,Proc. Intel Core I3-8100 - 3.6ghz - 6mb - 4nucleos - Ddr4-2400 Lga-1151,> 5,> 5,> 5,> 5,> 5,"$144,00","Por la compra de 3 artículos, tienes el 5% de descuento"
PROINTCORI57400,"Proc. Intel Core I5-7400 - 3.5ghz - 6mb - 4nucleos - Ddr4-2133-2400, Ddr3l-1333/1600 - Sk 1151",> 5,> 5,> 5,> 5,> 5,"$225,00","Por la compra de 3 artículos, tienes el 5% de descuento"
PROINTCORI58400,Proc. Intel Core I5-8400 - 2.8ghz - 9mb-cache - 6nucleos - Ddr4-2666 Fclga-1151,No,No,No,> 5,No,"$225,00","Por la compra de 3 artículos, tienes el 5% de descuento"
PROINTCORI76700,"Proc. Intel Core I7-6700 - 3.4ghz - 8mb - 4nucleos - Ddr4-1866/2133, Ddr3l-1333/1600 - Sk 1151",< 5,< 5,No,No,No,"$366,00","Por la compra de 3 artículos, tienes el 5% de descuento"
PROINTCORI77700,"Proc. Intel Core I7-7700 - 3.6ghz - 8mb - 4nucleos - Ddr4-2133-2400, Ddr3l-1333/1600 - Sk 1151",> 5,> 5,> 5,> 5,> 5,"$366,00","Por la compra de 3 artículos, tienes el 5% de descuento"
PROINTCOI77700K,"Proc. Intel Core I7-7700k - 4.5ghz - 8mb - 4nucleos - Ddr4-1866/2133, Ddr3l-1333/1600 Sk 1151",< 5,No,No,< 5,No,"$429,00","Por la compra de 3 artículos, tienes el 5% de descuento"
PROINTCORI78700,Proc. Intel Core I7-8700 - 3.2ghz - 12mb - 6nucleos - Ddr4-2666 Fclga-1151,> 5,> 5,> 5,> 5,> 5,"$390,00","Por la compra de 3 artículos, tienes el 5% de descuento"
PROAMDYD2200C5F,Procesador Amd Am4 Ryzen 3 2200g 3.7ghz Max. - 4 Core,> 5,> 5,< 5,> 5,< 5,"$126,00","Por la compra de 3 artículos, tienes el 5% de descuento"
PROAMDYD2400C5F,Procesador Amd Am4 Ryzen 5 2400g 3.9ghz Max. - 4 Core - 8 Thread,> 5,> 5,< 5,> 5,> 5,"$200,00","Por la compra de 3 artículos, tienes el 5% de descuento"
PROAMDYD2700BBA,Procesador Amd Am4 Ryzen 7 2700 Ghz Max. - 8 Core Cache L3 16mb,< 5,< 5,< 5,< 5,< 5,"$384,00","Por la compra de 3 artículos, tienes el 5% de descuento"
PROHPX755384B21,Procesador Hp Xeon Octa-core E52630v3 2.4ghz,< 5,No,No,No,No,"$1.004,00","Por la compra de 3 artículos, tienes el 5% de descuento"
PRODEL338-BLTQ,"Procesador Intel Xeon Bronze 3106 1.7ghz 8c-8t  11mcaché For T440, R440",< 5,< 5,No,No,No,"$525,00","Por la compra de 3 artículos, tienes el 5% de descuento"
PRODEL338-BLTW,Procesador Intel Xeon Silver 4116 2.1ghz 12c-24t  9.8gt-s 16mb Cache For R740,No,No,No,< 5,No,"$1.698,00","Por la compra de 3 artículos, tienes el 5% de descuento"
HDDWDIBVXC0040W,Nas Storage Wd My Cloud Home 4tb Usb 3.0 Dual-core Proc. Win-mac,< 5,< 5,No,No,No,"$252,00","Por la compra de 3 artículos, tienes el 5% de descuento"
HDDWDIBVXC0020W,Nas Storage Wd My Cloud Personal 2tb Usb 3.0 Dual-core Proc. Win-mac,< 5,No,No,No,No,"$202,00","Por la compra de 3 artículos, tienes el 5% de descuento"
ROUDLKDIR885L,Router Dlink Dir-885l Ac3150 Dual Band Wireless Gigabit Ultra Wifi 1.4ghz Dual Core Processor,< 5,< 5,No,< 5,< 5,"$201,00","Por la compra de 3 artículos, tienes el 5% de descuento"
